AppStream ID,Parent,Classifier,Name,Summary
mm3.ttf,,,,A Myanmar font
NafeesNastaleeq.ttf,Nafees,Nastaleeq,Nafees,Nafees nastaleeq font for writing Urdu in the Nastaleeq script
NafeesTehreerNaskh.ttf,Nafees,Tahreer Naskh,^,^
NafeesWeb.ttf,Nafees,Web Naskh,^,^
NafeesPakistaniWebNaskh.ttf,Nafees,Pakistani Web Naskh,^,^
NanumBrush.ttf,Nanum,Brush,Nanum,A collection of Myeongjo and Gothic Korean font families
NanumPen.ttf,Nanum,Pen,^,^
NanumGothicLight.ttf,Nanum,Gothic Light,^,^
NanumGothic.ttf,Nanum,Gothic,^,^
NanumGothic_Coding.ttf,Nanum,Gothic Coding,^,^
NanumMyeongjo.ttf,Nanum,Myeongjo,^,^
Navilu.ttf,,Serif,,A Kannada sans-serif font
newathu.ttf,,,New Athena,A multilingual font
Norasi-Oblique.ttf,,,,Thai Norasi fonts
NotCourierSans.ttf,,Sans,NotCourier Sans,NotCourier Sans is a re-interpretation of Nimbus Mono
NotoSans-Regular.ttf,Noto,Sans,Noto, Remove tofu from the web by providing fonts for all supported scripts
NotoSansBengali-Regular.ttf,Noto,Sans,^,^
NotoSansBengaliUI-Regular.ttf,Noto,Sans,^,^
NotoSansDevanagari-Regular.ttf,Noto,Sans,^,^
NotoSansDevanagariUI-Regular.ttf,Noto,Sans,^,^
NotoSansGujarati-Regular.ttf,Noto,Sans,^,^
NotoSansGujaratiUI-Regular.ttf,Noto,Sans,^,^
NotoSansHebrew-Regular.ttf,Noto,Sans,^,^
NotoSansKaithi-Regular.ttf,Noto,Sans,^,^
NotoSansKannada-Regular.ttf,Noto,Sans,^,^
NotoSansKannadaUI-Regular.ttf,Noto,Sans,^,^
NotoSansKhmer-Regular.ttf,Noto,Sans,^,^
NotoSansKhmerUI-Regular.ttf,Noto,Sans,^,^
NotoSansLao-Regular.ttf,Noto,Sans,^,^
NotoSansLaoUI-Regular.ttf,Noto,Sans,^,^
NotoSansMalayalam.ttf,Noto,Sans,^,^
NotoSansMalayalamUI.ttf,Noto,Sans,^,^
NotoSansTamil-Regular.ttf,Noto,Sans,^,^
NotoSansTamilUI-Regular.ttf,Noto,Sans,^,^
NotoSansTelugu-Regular.ttf,Noto,Sans,^,^
NotoSansTeluguUI-Regular.ttf,Noto,Sans,^,^
NotoSansUI-Regular.ttf,Noto,Sans,^,^
NotoSerif-Regular.ttf,Noto,Serif,^,^
NotoSerifLao-Regular.ttf,Noto,Serif,^,^
NuosuSIL.ttf,,,,The Nuosu SIL font
OldStandard-Regular.ttf,,,,Old Standard fonts
OpenDyslexic-Regular.otf,,,Open Dyslexic,A font designed for dyslexics with high readability
opens___.ttf,,,Open Symbol,A font containing common symbols
orbitron-black.otf,,,,Geometric sans-serif font
Overpass_Regular.ttf,,Sans,,A font based on U.S. interstate highway road signage
PTS55F.ttf,PT Sans,Sans,,A pan-Cyrillic font
PTC55F.ttf,PT Sans,Sans Caption,PT Sans,^
PTN57F.ttf,PT Sans,Sans Narrow,^,^
Padauk-bold.ttf,Padauk,Bold,,A font for Burmese and the Myanmar script
Padauk-book.ttf,Padauk,Book,Padauk,^
Pagul.ttf,,,,A font for Saurashtra script
PaperCuts_outline.ttf,PaperCuts,Outline,PaperCuts,PaperCuts 2.0 font
PaperCuts20.ttf,PaperCuts,Regular,^,^
Perizia.ttf,,,,An English asymmetric font
Pothana2000.ttf,,,Pothana 2000,A font for Telugu
Prociono-Regular.ttf,,,,A text roman with standard and discretionary ligatures
ProggyTinySZ.ttf,,,Proggy Tiny,Proggy Tiny with slashed zero programming font
Purisa-Oblique.ttf,,,,Thai Purisa fonts
Rachana.ttf,,Serif,,Rachana Malayalam traditional lipi font
RaghuMalayalamSans.ttf,,,,^
RiordonFancy.ttf,,,Riordon Fancy,A stylized font
Rockets.ttf,,,,"Thibault.org font, vaguely space themed"
SMonohand.ttf,,Mono,,A handwritten monospace font
STIX-Regular.otf,,,,Scientific and engineering fonts
Samyak-Oriya.ttf,,,,fonts for Oriya script
Sarai_07.ttf,,,,Free Sarai Hindi font
Sawasdee-Oblique.ttf,,,,Thai Sawasdee fonts
Scheherazade-R.ttf,,,,An Arabic script font
SerafettinCartoon-ExtraLight.ttf,,Sans,,Sans-serif Cartoon fonts
SerafettinCartoonCondensed.ttf,,Sans,Serafettin Cartoon,^
ShadowedBlack.ttf,,,Shadowed Black,A gothic font with drop shadows
ShofarRegular.ttf,,,,A font for Hebrew from Culmus project
slkscr.ttf,Silkscreen,Regular,,Silkscreen four member type family
slkscre.ttf,Silkscreen,Expanded,Silkscreen,^
SimpleCLM-Medium.ttf,,,,A fonts for Hebrew from Culmus project
Sniglet.ttf,,,,"A rounded, sans-serif font useful for headlines"
GoudyStM.otf,,,,Goudy Oldstyle and Italic fonts
SourceCodePro-Regular.otf,,Mono Regular,Source Code,A set of mono-spaced fonts designed for coding environments
SourceCodePro-Black.otf,,Mono Black,^,^
SourceCodePro-ExtraLight.otf,,Mono Extra Light,^,^
SourceCodePro-Light.otf,,Mono Light,^,^
SourceCodePro-Medium.otf,,Mono Medium,^,^
SourceCodePro-Semibold.otf,,Mono Semibold,^,^
SourceSansPro-It.otf,,Sans,Source Sans,A set of fonts designed for user interfaces
SourceSansPro-Black.otf,,Sans Black,^,^
SourceSansPro-ExtraLight.otf,,Sans Extralight,^,^
SourceSansPro-Light.otf,,Sans Light,^,^
SourceSansPro-Semibold.otf,,Sans Semibold,^,^
Sportrop.ttf,,-,,A multiline decorative font
StamAshkenazCLM.ttf,Stam,Ashkenaz,Stam,A set of fonts for Hebrew from Culmus project
StamSefaradCLM.ttf,Stam,Sefarad,^,^
StayPuft.ttf,,,,"Thibault.org font, rounded and marshmellowy"
SteveHand.ttf,,Cursive,,A handwriting font
Suruma.ttf,,,,A set of fonts for Malayalam script
Symbola.ttf,,,,A symbol font
Tangerine_Regular.ttf,,Calligraphy,,Tangerine is a calligraphy font inspired by many italic chancery hands
TibMachUni-1.901b.ttf,,,Tibetan Machine Uni,"Tibetan Machine Uni font for Tibetan, Dzongkha and Ladakhi"
Tinos-Regular.ttf,,,,The croscore Tinos family fonts
Tiresias Infofont.ttf,Tiresias,Info,Tiresias,Specialized fonts for use by the visually impaired
TIRESIAS INFOFONTZ.ttf,Tiresias,Info No-crossed-zero,^,^
TIREKV__.ttf,Tiresias,Key,^,^
Tiresias LPfont bold.ttf,Tiresias,Large print,^,^
Tiresias PCfont.ttf,Tiresias,PC,^,^
TIRESIAS PCFONTZ.ttf,Tiresias,PC No-crossed-zero,^,^
Tiresias Signfont.ttf,Tiresias,Signs,^,^
TIRESIAS SIGNFONTZ.ttf,Tiresias,Signs No-crossed-zero,^,^
Titillium-Regular.otf,,Sans Regular,,A sans-serif font designed inside Campi Visivi's Type Design course
Titillium-Black.otf,,Sans Bold,,^
Titillium-Light.otf,,Sans Light,,^
Titillium-LightUpright.otf,,Sans Upright,,^
tiza_chalk.ttf,,Slab-serif,,Chalky slab-serif fonts
